DLL Path: C:\Windows\System32\msvcp100.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$_Yarn@D@std@@QEAA@AEBV01@@Z                                                                     0x3c4aeacf                                         
??0?$_Yarn@D@std@@QEAA@PEBD@Z                                                                        0x392e252b                                         
??0?$_Yarn@D@std@@QEAA@XZ                                                                            0xe1615de8                                         
??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ                                                  0x784f978e                                         
??0?$basic_ios@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z  0x0662b9c7                                         
??0?$basic_ios@GU?$char_traits@G@std@@@std@@IEAA@XZ                                                  0xecba93d4                                         
??0?$basic_ios@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z  0x69e73053                                         
??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@IEAA@XZ                                                0xc0174672                                         
??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z 0x6cdebf4f                                         
??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@$$QEAV01@@Z                                    0x5e594e0d                                         
??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z 0x3599f4e0                                         
??0?$basic_iostream@GU?$char_traits@G@std@@@std@@QEAA@$$QEAV01@@Z                                    0xebc37913                                         
??0?$basic_iostream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z 0x991e6b6c                                         
??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@QEAA@$$QEAV01@@Z                                  0x0ac72fb1                                         
??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z 0x8cffdee8                                         
??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@$$QEAV01@@Z                                     0x9606f81e                                         
