DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\DnnlPlugin.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
GetConvolution                                                                                       0xfa9828a5                                         
GetConvolutionAlt                                                                                    0x29e2c566                                         
GetGemm                                                                                              0x511b43eb                                         
GetGemmAlt                                                                                           0xa47a62ec                                         
GetPooling                                                                                           0x70be6afd                                         
GetPoolingAlt                                                                                        0xdaaa08be                                         
ReleaseEngine                                                                                        0x51201edc                                         
ReleaseMemory                                                                                        0x6329ebbf                                         
SetEngine                                                                                            0x76c67547                                         
