DLL Path: C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_f21a18a53fedc854\AS\IAS\ControlModule.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0HpalIoctlControl@@QEAA@XZ                                                                         0x33a5d07e                                         
??0IIntelWovControl@@QEAA@AEBV0@@Z                                                                   0x8a8cf475                                         
??0IIntelWovControl@@QEAA@XZ                                                                         0x5f15a55f                                         
??0IntelIOCTLControl@@QEAA@XZ                                                                        0xa05b4775                                         
??0IntelLpalListener@@QEAA@XZ                                                                        0x28fe5e88                                         
??0IntelWovControl@@QEAA@XZ                                                                          0x0f7bf3b6                                         
??1HpalIoctlControl@@UEAA@XZ                                                                         0x96b176a3                                         
??1IIntelWovControl@@UEAA@XZ                                                                         0xc2214b84                                         
??1IntelIOCTLControl@@UEAA@XZ                                                                        0xe7bd51ba                                         
??1IntelWovControl@@UEAA@XZ                                                                          0xef7d39bb                                         
??4IIntelWovControl@@QEAAAEAV0@AEBV0@@Z                                                              0x059bebe6                                         
??_7IIntelWovControl@@6B@                                                                            0xc502bbf3                                         
??_7IntelWovControl@@6B@                                                                             0x333e020a                                         
?ActivateDevice@IntelWovControl@@UEAAJPEB_W@Z                                                        0x4cff718b                                         
?AddDevice@IntelWovControl@@UEAAXPEB_W@Z                                                             0xe599b2d1                                         
?CreateKsStream@IntelWovControl@@UEAAXK@Z                                                            0x87500cb4                                         
?GetActiveEndpointId@IntelWovControl@@UEAA?AV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@XZ 0x74b2aef6                                         
?GetBigParameter@HpalIoctlControl@@UEAAKKKPEAXAEA_K@Z                                                0xd17babee                                         
?GetBigParameter@IntelIOCTLControl@@UEAAKKKPEAXAEA_K@Z                                               0xe9724705                                         
?GetDevicePath@HpalIoctlControl@@UEAAPEB_WXZ                                                         0x18f9da9d                                         
?GetFirstLpCapableArrayEndpointId@IntelWovControl@@UEAA?AV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@_N@Z 0x5c96039a                                         
?GetKsStatus@IntelWovControl@@UEAA_NPEB_WAEA_N1AEAK22AEAG3PEAPEAVEndpointDeviceProxy@@@Z             0xd59e56a0                                         
?GetMicArray@IntelWovControl@@UEAA_NPEAPEAUKSAUDIO_MIC_ARRAY_GEOMETRY@@@Z                            0x67c9382a                                         
?GetSpeechDeviceId@IntelWovControl@@UEAA?AV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@XZ 0xff0fc481                                         
?GetStructParameter@HpalIoctlControl@@UEAAKKKPEAXK@Z                                                 0x5a45389b                                         
?GetStructParameter@IntelIOCTLControl@@UEAAKKKPEAXK@Z                                                0x4a3eca92                                         
?GetTinyParameter@HpalIoctlControl@@UEAAKKKPEAX@Z                                                    0x3782750f                                         
?GetTinyParameter@IntelIOCTLControl@@UEAAKKKPEAX@Z                                                   0x997e6c06                                         
?InitializeKsControl@IntelWovControl@@UEAA_NXZ                                                       0x8b7fc3c9                                         
?IsCaptureDevice@IntelWovControl@@UEAA_NPEB_W@Z                                                      0xa763804d                                         
?IsLpCapableDevice@IntelWovControl@@UEAA_NPEB_W@Z                                                    0xe44d183d                                         
?LoadKsPipeline@IntelWovControl@@UEAAXKKGGW4eIntcSpeechMode@@_NKAEA_N@Z                              0x06c10aca                                         
?RegisterKsEventHandle@IntelWovControl@@UEAAXXZ                                                      0x73fdff94                                         
?RemoveDevice@IntelWovControl@@UEAAJPEB_WAEAH@Z                                                      0x6cf515d7                                         
?RunStream@IntelWovControl@@UEAAXXZ                                                                  0x24daeb64                                         
?SetBigParameter@HpalIoctlControl@@UEAAKKKPEAX_K@Z                                                   0xf742f5b3                                         
?SetBigParameter@IntelIOCTLControl@@UEAAKKKPEAX_K@Z                                                  0x6fdf91aa                                         
?SetTinyParameter@HpalIoctlControl@@UEAAKKKK_N@Z                                                     0xe0fa82c5                                         
?SetTinyParameter@IntelIOCTLControl@@UEAAKKKK_N@Z                                                    0x6292985c                                         
?StartStream@IntelWovControl@@UEAAXXZ                                                                0x5b50e27d                                         
?StopKsStream@IntelWovControl@@UEAAXXZ                                                               0x9342a9f3                                         
?UnloadKsControl@IntelWovControl@@UEAAXXZ                                                            0x7a59b705                                         
?UnloadPpClient@IntelWovControl@@UEAAXXZ                                                             0x15f501c5                                         
?UnregisterKsEventHandle@IntelWovControl@@UEAAXXZ                                                    0xc79b0557                                         
?WovConfigWaitHandle@IntelWovControl@@UEAAPEAXXZ                                                     0xee47712c                                         
ACADetectorBuildArmingData                                                                           0x8255336c                                         
ACADetectorGetCaps                                                                                   0xcd71d7ab                                         
ACADetectorVerifyDetection                                                                           0x9d95de98                                         
ActivateDevice                                                                                       0xbd5b0b06                                         
AddDevice                                                                                            0x8731155e                                         
AdjustSecurityPrivileges                                                                             0x9b332f22                                         
CallNtPowerInformationExport                                                                         0x5587ff18                                         
CloseHandleExport                                                                                    0x04e6b4e9                                         
CreateAcaDetectorDllClientInstance                                                                   0x16d8d808                                         
CreateFarfieldDllClientInstance                                                                      0x9a8e1fc6                                         
CreateHpalIOCTLControlInstance                                                                       0xb6b2d84f                                         
CreateIOCTLControlInstance                                                                           0x266b1aaa                                         
CreateKsStream                                                                                       0x1e5054a3                                         
CreateLpalListenerInstance                                                                           0xa6ae1b5d                                         
CreatePpDllClientInstance                                                                            0xdc087ca9                                         
CreateProcessAsUserWExport                                                                           0x4d2f3764                                         
CreateWoVControlInstance                                                                             0x1ae8342b                                         
DisposeAcaDetectorDllClient                                                                          0xd70cb8b6                                         
DisposeFarfieldClient                                                                                0x07507f58                                         
DisposeIOCTLControl                                                                                  0x96b3c658                                         
DisposeLpalListener                                                                                  0x3646c40b                                         
DisposePpDllClient                                                                                   0x97b918f7                                         
DisposeWoVControl                                                                                    0x354f7a19                                         
DuplicateHandleExport                                                                                0x3f374eae                                         
GetAcaDetectorApiVersion                                                                             0x8e5eb744                                         
GetActiveEndpointId                                                                                  0xb2a814af                                         
GetBigParameter                                                                                      0x48d6b578                                         
GetDevicePath                                                                                        0x9d7f0922                                         
GetEndpoints                                                                                         0x676876d9                                         
GetEx                                                                                                0x0d3d2502                                         
GetFirstLpCapableArrayEndpointId                                                                     0x40f82ade                                         
GetKsStatus                                                                                          0xde67a067                                         
GetLibraryVersion                                                                                    0x26ff5800                                         
GetMicArray                                                                                          0xd6e5da5d                                         
GetProcessWorkingSetSizeExExport                                                                     0xb49c4b2b                                         
GetRegKeyValueExport                                                                                 0xc4d7fb0b                                         
GetServiceDirectoryExport                                                                            0x317334ad                                         
GetServiceRegistryStateKeyExport                                                                     0xf8f0a8fb                                         
GetSpeechDeviceId                                                                                    0xf9bc40da                                         
GetStructParameter                                                                                   0xe4bececb                                         
GetTinyParameter                                                                                     0xd81c88ca                                         
InitializeKsControl                                                                                  0x472db016                                         
IntelSstPreProcBurstProcess                                                                          0x5773f5e5                                         
IntelSstPreProcGetLatency                                                                            0xbac029e6                                         
IntelSstPreProcGetSize                                                                               0x76cc9bb1                                         
IntelSstPreProcInitialize                                                                            0xcccfd568                                         
IntelSstPreProcProcess                                                                               0x499a0855                                         
IntelSstPreProcRelease                                                                               0xc5062fd7                                         
IntelSstPreProcReset                                                                                 0x89778ab9                                         
IntelSstPreProcSetConfig                                                                             0xad4b1e98                                         
IsApiSetImplementedExport                                                                            0x9f86ca1d                                         
IsCaptureDevice                                                                                      0xbcbbafa5                                         
IsLpCapableDevice                                                                                    0xb358c9d5                                         
IsPowerManagmentApiSetImplementedExport                                                              0xfdc146e2                                         
KsProperty                                                                                           0xdfbf6888                                         
LCfg                                                                                                 0x7c87e6e1                                         
LCloseAllSessions                                                                                    0x8eb26e17                                         
LCreateStream                                                                                        0x221c54b1                                         
LDestroyStream                                                                                       0x42747de7                                         
LGetBufferMetadata                                                                                   0xc1a9398c                                         
LGetDetectionData                                                                                    0xd9d153ea                                         
LOpenStream                                                                                          0xcc326cef                                         
LQueryNotif                                                                                          0xa491b7a7                                         
LQuerySpeechMode                                                                                     0x0a3d0ba4                                         
LRead                                                                                                0x0d8cf80d                                         
LReset                                                                                               0xbf2c46d4                                         
LStart                                                                                               0xbf464e1f                                         
LStop                                                                                                0x0d8dc617                                         
LWaitHandle                                                                                          0x7d1e5212                                         
LoadKsPipeline                                                                                       0xa8f094b9                                         
ReadInterfaceRegistryKeyExport                                                                       0x74217676                                         
RegCloseKeyExport                                                                                    0x1e5bb224                                         
RegisterPowerSettingNotificationExport                                                               0x30bfaf1e                                         
RegisterServiceCtrlHandlerExWExport                                                                  0x568e0fe4                                         
RemoveDevice                                                                                         0xc9b608c3                                         
Reset                                                                                                0x0e043268                                         
RunStream                                                                                            0x19a4a726                                         
SetBigParameter                                                                                      0xf02fda84                                         
SetDllDirectoryWExport                                                                               0xbb8ae23b                                         
SetLogMessageDelegate                                                                                0xfc5cf993                                         
SetProcessWorkingSetSizeExExport                                                                     0x750da9b7                                         
SetTinyParameter                                                                                     0x6a9a4f56                                         
StartStream                                                                                          0x012cf85f                                         
StopKsStream                                                                                         0xf254b735                                         
UnloadKsControl                                                                                      0x89ce9c67                                         
UnloadPpClient                                                                                       0x7c3eb307                                         
UnregisterKsEventHandle                                                                              0xc7ec0379                                         
UnregisterPowerSettingNotificationExport                                                             0xf40e1e21                                         
UpdateDvConfiguration                                                                                0xee474ffa                                         
UpdateMicGeoConfiguration                                                                            0x7c520f54                                         
UpdatePpConfiguration                                                                                0x321f1b40                                         
UpdateReferenceWovConfiguration                                                                      0x261bff2b                                         
UpdateWovConfiguration                                                                               0xac020fdc                                         
Verify                                                                                               0xd7dea53a                                         
WTSGetActiveConsoleSessionIdExport                                                                   0xc88e20e5                                         
WovConfigWaitHandle                                                                                  0x037697b8                                         
