DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igfxcmrt64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CM_AVS_STATE_MSG_EX@@QEAA@XZ                                                                      0xb8f896f8                                         
?DestroyProgram@CmDevice_RT@@UEAAHAEAPEAVCmProgram@@@Z                                               0x7c9eadc4                                         
?DestroySampler8x8@CmDevice_RT@@UEAAHAEAPEAVCmSampler8x8@@@Z                                         0xf035ed8c                                         
?DestroySampler8x8Surface@CmDevice_RT@@UEAAHAEAPEAVSurfaceIndex@@@Z                                  0x71c02eca                                         
?DestroySampler@CmDevice_RT@@UEAAHAEAPEAVCmSampler@@@Z                                               0x7d899a3c                                         
?DestroySamplerSurface@CmDevice_RT@@UEAAHAEAPEAVSurfaceIndex@@@Z                                     0xad4b5f22                                         
?DestroySurface2DStateless@CmDevice_RT@@UEAAHAEAPEAVCmSurface2DStateless@@@Z                         0xc500f942                                         
?DestroySurface2DUP@CmDevice_RT@@UEAAHAEAPEAVCmSurface2DUP@@@Z                                       0xf211429c                                         
?DestroySurface@CmDevice_RT@@UEAAHAEAPEAVCmBuffer@@@Z                                                0x8d8cc017                                         
?DestroySurface@CmDevice_RT@@UEAAHAEAPEAVCmSurface2D@@@Z                                             0x76fa083c                                         
?DestroySurface@CmDevice_RT@@UEAAHAEAPEAVCmSurface3D@@@Z                                             0x794f30dd                                         
?DestroyTask@CmDevice_RT@@UEAAHAEAPEAVCmTask@@@Z                                                     0x2e91a67a                                         
?DestroyThreadGroupSpace@CmDevice_RT@@UEAAHAEAPEAVCmThreadGroupSpace@@@Z                             0x0e8dee36                                         
?DestroyThreadSpace@CmDevice_RT@@UEAAHAEAPEAVCmThreadSpace@@@Z                                       0xaf165e9c                                         
?DestroyVebox@CmDevice_RT@@UEAAHAEAPEAVCmVebox@@@Z                                                   0xfbec881c                                         
?DestroyVmeSurfaceG7_5@CmDevice_RT@@UEAAHAEAPEAVSurfaceIndex@@@Z                                     0x5a117468                                         
?DispatchTask@CmDevice_RT@@UEAAHXZ                                                                   0x5c9e0c82                                         
?Enqueue@CmQueue_RT@@UEAAHPEAVCmTask@@AEAPEAVCmEvent@@PEBVCmThreadSpace@@@Z                          0xd28b9789                                         
?EnqueueCopyCPUToCPU@CmQueue_RT@@UEAAHPEAE0IIAEAPEAVCmEvent@@@Z                                      0x6e6e9304                                         
?EnqueueCopyCPUToGPU@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEBEAEAPEAVCmEvent@@@Z                        0xad1dfd02                                         
?EnqueueCopyCPUToGPUFullStride@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEBEIIIAEAPEAVCmEvent@@@Z           0xfd5f883b                                         
?EnqueueCopyCPUToGPUFullStrideDup@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEBEIIIAEAPEAVCmEvent@@@Z        0x530ef104                                         
?EnqueueCopyGPUToCPU@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEAEAEAPEAVCmEvent@@@Z                        0x9f0fe121                                         
?EnqueueCopyGPUToCPUFullStride@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEAEIIIAEAPEAVCmEvent@@@Z           0x780d0bfa                                         
?EnqueueCopyGPUToCPUFullStrideDup@CmQueue_RT@@UEAAHPEAVCmSurface2D@@PEAEIIIAEAPEAVCmEvent@@@Z        0x19c764c3                                         
?EnqueueCopyGPUToGPU@CmQueue_RT@@UEAAHPEAVCmSurface2D@@0IAEAPEAVCmEvent@@@Z                          0x29957563                                         
?EnqueueFast@CmQueue_RT@@UEAAHPEAVCmTask@@AEAPEAVCmEvent@@PEBVCmThreadSpace@@@Z                      0xf1530537                                         
?EnqueueInitSurface2D@CmQueue_RT@@UEAAHPEAVCmSurface2D@@IAEAPEAVCmEvent@@@Z                          0xe30edf70                                         
?EnqueueReadBuffer@CmQueue_RT@@UEAAHPEAVCmBuffer@@_KPEBE1PEAVCmEvent@@AEAPEAV3@I@Z                   0x987af204                                         
