DLL Path: C:\Windows\System32\uwfcfgmgmt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CDevice@@QEAA@XZ                                                                                  0xcfeb4190                                         
?DisableAutoDefragService@@YAJH@Z                                                                    0x8b4cc731                                         
?DisableService@@YAJPEBG_N@Z                                                                         0x5ef96812                                         
?ExecuteBackgroundProcess@@YAJPEBG0_NPEAK@Z                                                          0x349f07b0                                         
?Finalize@CUwfManagement@@QEAAJXZ                                                                    0x6daf77fc                                         
?Finalize@CUwfProvider@@QEAAJXZ                                                                      0xfbec45ca                                         
?FindFileExclusion@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                        0x50292c86                                         
?FindRegKeyExclusion@CUwfStaticConfiguration@@QEAAJPEBG@Z                                            0xc59dca75                                         
?FixupLowerFiltersSetting@@YAJXZ                                                                     0x237feb46                                         
?FixupUpdatedSettings@CUwfConfiguration@@QEAAJXZ                                                     0x288f5969                                         
?GetConfiguration@CUwfProvider@@QEAAPEAVCUwfConfiguration@@XZ                                        0x5a6bf55f                                         
?GetDriveLetterFromVolumeName@@YAJPEBGPEAG@Z                                                         0x3a9d0774                                         
?GetManagement@CUwfProvider@@QEAAPEAVCUwfManagement@@XZ                                              0x42af80e9                                         
?GetOverlayFileName@CUwfStaticConfiguration@@QEAAJPEAPEAG@Z                                          0xc2f2288b                                         
?GetOverlayFiles@CUwfOverlayDevice@@QEAAJAEA_KAEAV?$CRBMap@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@_KV?$CElementTraits@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@2@V?$CElementTraits@_K@2@@ATL@@@Z 0x796d2b69                                         
?GetServiceStartType@@YAJPEBGPEAK@Z                                                                  0x70f39aa2                                         
?GetStaticConfiguration@CUwfProvider@@QEAAJ_NPEAPEAVCUwfStaticConfiguration@@@Z                      0xa9b88f64                                         
?GetSubKeyAt@CUwfRegKey@@QEAAJKPEAGK@Z                                                               0xfbe02117                                         
?GetSystemDriveLetter@@YAJPEAPEAG@Z                                                                  0xc22d5a84                                         
?GetSystemShutdownState@CUwfManagement@@QEAAJPEA_N@Z                                                 0x005bd1b7                                         
?GetUwfProtectableVolumeList@@YAJ_NPEAKPEAUUWF_PROTECTABLEVOLUME_INFO@@@Z                            0x38bf1abf                                         
?GetUwfProvider@CUwfProvider@@SAPEAV1@XZ                                                             0x9675cba4                                         
?GetVolumeGuidFromDriveName@@YAJPEBGPEAGK@Z                                                          0x2510bed8                                         
?GetWinResumeObjectId@@YAJPEAPEAG@Z                                                                  0x227a5b98                                         
?HaveCapturedUwfSettings@@YAJPEA_N@Z                                                                 0xde6778e4                                         
?HaveUwfFactorySettings@CUwfConfiguration@@QEAAJPEA_N@Z                                              0xd990916f                                         
?HiberFileExists@@YA_NXZ                                                                             0x4ea0aec7                                         
?Initialize@CDevice@@QEAAJPEBG@Z                                                                     0xf781ca83                                         
?Initialize@CUwfConfiguration@@QEAAJPEAX@Z                                                           0xf737294d                                         
?Initialize@CUwfManagement@@QEAAJXZ                                                                  0x573d9dbc                                         
?Initialize@CUwfManagement@@QEAAJ_N@Z                                                                0x1d1fa8f1                                         
?Initialize@CUwfOverlayDevice@@QEAAJPEBG@Z                                                           0xfa56d697                                         
?Initialize@CUwfRegDevice@@QEAAJXZ                                                                   0x79b35b0d                                         
?Initialize@CUwfStaticVolumeConfiguration@@QEAAJPEAUHKEY__@@K_NPEAVCUwfConfiguration@@PEAVCUwfStaticConfiguration@@@Z 0xd8af64eb                                         
?Initialize@CUwfVolumeDevice@@QEAAJXZ                                                                0x53d908c7                                         
?InitializeWithNoPermissions@CDevice@@QEAAJPEBG@Z                                                    0x73c28fd8                                         
?IsCurrentSession@CUwfStaticConfiguration@@QEAA_NXZ                                                  0xcb916bd3                                         
?IsFileExcluded@CUwfStaticVolumeConfiguration@@QEAAJPEBGPEA_N@Z                                      0xd0c398f8                                         
?IsHORMEnabled@CUwfConfiguration@@QEAA_NXZ                                                           0xb291b8e5                                         
