DLL Path: C:\Windows\System32\tcbloader.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
OslGenRandomBytes                                                                                    0xe8ef5795                                         
OslGetControlSubkeyCell                                                                              0xa50059a7                                         
OslGetExportRoutineInModule                                                                          0x90623338                                         
OslGetFirmwarePayload                                                                                0xebf9023a                                         
OslGetHotPatchPath                                                                                   0xbe1c2cbb                                         
OslGetStringValue                                                                                    0xf6675f67                                         
OslGetSubkey                                                                                         0x40d00806                                         
OslGetValue                                                                                          0x022247b0                                         
OslIsRunningInSecureKernel                                                                           0x5f6b454f                                         
TcbLoadEntry                                                                                         0xa613b610                                         
TcbResumeEntry                                                                                       0x41817c81                                         
