DLL Path: C:\Windows\System32\Microsoft-Edge-WebView\msedge_elf.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0PwaHelperImpl@edge_pwahelper@@QEAA@XZ                                                             0x2c751a73                                         
EdgeGetElfCommandLine                                                                                0x9688a838                                         
EdgeGetElfLoadThreadId                                                                               0x2c8001b6                                         
EdgeGetInjectionMitigationStatus                                                                     0xc9673276                                         
EdgeGetMitigationHistogramData                                                                       0xecc1b517                                         
EdgeModuleIsEnumerated                                                                               0x7e802d46                                         
EdgeModuleIsLoaded                                                                                   0xe15584a5                                         
GetApplyHookResult                                                                                   0xb1dfae5b                                         
GetBlockedModulesCount                                                                               0x20d9873b                                         
GetCrashReports_ExportThunk                                                                          0x8863b930                                         
GetCrashpadDatabasePath_ExportThunk                                                                  0xe4a37c58                                         
GetHandleVerifier                                                                                    0x54d1a1cd                                         
GetInstallDetailsPayload                                                                             0x33aac16c                                         
GetProductInfo_ExportThunk                                                                           0x6ededa9d                                         
GetUniqueBlockedModulesCount                                                                         0xa392e272                                         
GetUploadConsent_ExportThunk                                                                         0xc1ea284f                                         
GetUserDataDirectoryThunk                                                                            0xd0b7ea5d                                         
InjectDumpForHungInput_ExportThunk                                                                   0x217ce72c                                         
IsBrowserProcess                                                                                     0x83e0bce4                                         
IsExtensionPointDisableSet                                                                           0x2a191508                                         
IsTemporaryUserDataDirectoryCreatedForHeadless                                                       0x4daecc3a                                         
IsThirdPartyInitialized                                                                              0x81b3b982                                         
RegisterLogNotification                                                                              0xb1e60293                                         
RequestSingleCrashUpload_ExportThunk                                                                 0x28de4b11                                         
SetIsCopilotModeEnabled_ExportThunk                                                                  0xbda5f0c2                                         
SetMetricsClientId                                                                                   0x2a418d94                                         
SetMetricsIds_ExportThunk                                                                            0xb3681633                                         
SetRuntimeVariationsSeedEtag_ExportThunk                                                             0x4bd27142                                         
SetTelemetryLevel_ExportThunk                                                                        0xe4ff6dcf                                         
SetUXConfigCorrelationId_ExportThunk                                                                 0xb518d08e                                         
SetUploadConsent_ExportThunk                                                                         0xe13a20db                                         
SetVariationsSeedEtag_ExportThunk                                                                    0x2edc137e                                         
SignalChromeElf                                                                                      0xd4a30498                                         
SignalInitializeCrashReporting                                                                       0xc84b0d60                                         
StartAppWithParameter                                                                                0x6d81efd1                                         
