DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igdgmm32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0GmmClientContext@GmmLib@@QAE@ABV01@@Z                                                             0xaa6ff81b                                         
??0GmmClientContext@GmmLib@@QAE@W4GMM_CLIENT_ENUM@@PAVContext@1@@Z                                   0x77079f5c                                         
??0GmmPageTableMgr@GmmLib@@QAE@ABV01@@Z                                                              0x8821f722                                         
??0GmmPageTableMgr@GmmLib@@QAE@PAU_GMM_DEVICE_CALLBACKS_INT@@IPAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmClientContext@1@@Z 0xf16c1141                                         
??0GmmPageTableMgr@GmmLib@@QAE@PAU_GMM_DEVICE_CALLBACKS_INT@@IPAVGmmClientContext@1@@Z               0x2b6c0cac                                         
??0GmmPageTableMgr@GmmLib@@QAE@XZ                                                                    0xd4b1c3c0                                         
??1GmmClientContext@GmmLib@@UAE@XZ                                                                   0x1928285e                                         
??1GmmPageTableMgr@GmmLib@@UAE@XZ                                                                    0xaacb3605                                         
??4GmmClientContext@GmmLib@@QAEAAV01@ABV01@@Z                                                        0xe8c42f38                                         
??4GmmPageTableMgr@GmmLib@@QAEAAV01@ABV01@@Z                                                         0xc1771a1f                                         
??_7GmmClientContext@GmmLib@@6B@                                                                     0x54e1b64e                                         
??_7GmmPageTableMgr@GmmLib@@6B@                                                                      0x36d39cb5                                         
?AllocMemory@GmmClientContext@GmmLib@@UAGJPAX_KI1PBUGMM_INITIAL_DATA@@AAPAXAAUGMM_ALLOC_INFO@@PAW4GMM_ALLOC_ORIGIN@@@Z 0x3737ade3                                         
?AllocateHeapVA@GmmClientContext@GmmLib@@QAG_KPAUGMM_HEAP_REC@@_KI@Z                                 0x8d025e88                                         
?AllocateHeapVA@GmmClientContext@GmmLib@@UAG_KPAUGMM_HEAP_REC@@_K@Z                                  0x8a831be3                                         
?AuxTilePoolSize@GmmClientContext@GmmLib@@UAG_KPAVGmmResourceInfoWin@2@I@Z                           0x4e9f1098                                         
?CachePolicyGetMaxL1HdcMocsIndex@GmmClientContext@GmmLib@@UAGIXZ                                     0xb85e3d79                                         
?CachePolicyGetMaxMocsIndex@GmmClientContext@GmmLib@@UAGIXZ                                          0x7dd952cd                                         
?CachePolicyGetMaxSpecialMocsIndex@GmmClientContext@GmmLib@@UAGIXZ                                   0x014eb12e                                         
?CachePolicyGetMemoryObject@GmmClientContext@GmmLib@@UAG?ATMEMORY_OBJECT_CONTROL_STATE_REC@@PAVGmmResourceInfoWin@2@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z 0x75610160                                         
?CachePolicyGetOriginalMemoryObject@GmmClientContext@GmmLib@@UAG?ATMEMORY_OBJECT_CONTROL_STATE_REC@@PAVGmmResourceInfoWin@2@@Z 0xb82792f9                                         
?CachePolicyGetPATIndex@GmmClientContext@GmmLib@@UAGIPAVGmmResourceInfoWin@2@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z 0xa44be5fa                                         
?CachePolicyGetPATIndex@GmmClientContext@GmmLib@@UAGIPAVGmmResourceInfoWin@2@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@PA_N_N@Z 0x98435025                                         
?CachePolicyGetPteType@GmmClientContext@GmmLib@@UAG?ATGMM_PTE_CACHE_CONTROL_BITS_REC@@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z 0x044588bd                                         
?CachePolicyGetUnCompressedPATIndex@GmmClientContext@GmmLib@@UAG_K_K@Z                               0xce869ca5                                         
?CachePolicyIsUsagePTECached@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z         0xa8662a2f                                         
?ConfigureDeviceAddressSpace@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@_KEEE22@Z 0x0c68b281                                         
?CopyResInfoObject@GmmClientContext@GmmLib@@QAGPAVGmmResourceInfoWin@2@PAV32@PAU_GmmClientAllocationCallbacks_@@@Z 0x8fc9d72e                                         
?CopyResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAV32@@Z                      0x8e0a08a8                                         
?CopyTileMappings@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0UGMM_COPY_TILE_MAPPINGS_REC_INT@@EPAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@PAU_GMM_DEVICE_CALLBACKS_INT@@IE@Z 0xe9b61c70                                         
?CreateAllocation@GmmClientContext@GmmLib@@UAGJPAXABU_GMM_CREATE_RESOURCE_DESC@@PBUGMM_INITIAL_DATA@@AAPAXPAPAX@Z 0x0f1b1c84                                         
?CreateCustomResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_CUSTOM_PARAMS__REC@@@Z 0x921f69a9                                         
?CreateCustomResInfoObject_2@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_CUSTOM_PARAMS_2_REC@@@Z 0x704024ac                                         
?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z 0xf03923eb                                         
?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPAU_GmmClientAllocationCallbacks_@@@Z 0x58235e15                                         
?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAU_GMM_DEVICE_CALLBACKS_INT@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@I@Z 0x055b9e29                                         
?CreatePageTblMgrObject@GmmClientContext@GmmLib@@UAGPAVGmmPageTableMgr@2@PAU_GMM_DEVICE_CALLBACKS_INT@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@IPAU_GmmClientAllocationCallbacks_@@@Z 0x41240f93                                         
?CreatePool@GmmClientContext@GmmLib@@UAGJABU_GMM_CREATE_POOL_DESC_@@U__GMM_PAGING_QUEUE_HANDLE@@AAPAX@Z 0x05eabad4                                         
?CreateResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_PARAMS_REC@@@Z 0x98f88dd5                                         
?CreateResInfoObject@GmmClientContext@GmmLib@@UAGPAVGmmResourceInfoWin@2@PAUGMM_RESCREATE_PARAMS_REC@@PAU_GmmClientAllocationCallbacks_@@@Z 0xe3c29fbf                                         
?CreateResource@GmmClientContext@GmmLib@@UAGJPAXABU_GMM_CREATE_RESOURCE_DESC@@_KAAPAX@Z              0xc37aa62c                                         
