DLL Path: C:\Windows\System32\mmcbase.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$CEventLock@UAppEvents@@@@QEAA@XZ                                                                0xf62f27f9                                         
??0CEventBuffer@@QEAA@AEBV0@@Z                                                                       0x1527af32                                         
??0CEventBuffer@@QEAA@XZ                                                                             0x469e565c                                         
??0CMMCStrongReferences@@AEAA@XZ                                                                     0xccb267cc                                         
??0SC@mmcerror@@QEAA@AEBV01@@Z                                                                       0xf87fa441                                         
??0SC@mmcerror@@QEAA@J@Z                                                                             0x9857e84c                                         
??1?$CEventLock@UAppEvents@@@@QEAA@XZ                                                                0x3467f03a                                         
??1CEventBuffer@@QEAA@XZ                                                                             0xb94aa0fd                                         
??1SC@mmcerror@@QEAA@XZ                                                                              0x652eae1b                                         
??4?$CEventLock@UAppEvents@@@@QEAAAEAV0@AEBV0@@Z                                                     0x8c90dec0                                         
??4CEventBuffer@@QEAAAEAV0@AEBV0@@Z                                                                  0x5f8982c3                                         
??4CMMCStrongReferences@@QEAAAEAV0@$$QEAV0@@Z                                                        0x9b98e13a                                         
??4CMMCStrongReferences@@QEAAAEAV0@AEBV0@@Z                                                          0xee2db443                                         
??4SC@mmcerror@@QEAAAEAV01@AEBV01@@Z                                                                 0xdafb4cc3                                         
??4SC@mmcerror@@QEAAAEAV01@J@Z                                                                       0xd2e7d74e                                         
??7SC@mmcerror@@QEBAHXZ                                                                              0x4b8ec7aa                                         
??8SC@mmcerror@@QEBA_NAEBV01@@Z                                                                      0xab4691b7                                         
??8SC@mmcerror@@QEBA_NJ@Z                                                                            0x342f7542                                         
??9SC@mmcerror@@QEBA_NAEBV01@@Z                                                                      0x81627d38                                         
??9SC@mmcerror@@QEBA_NJ@Z                                                                            0xfc651403                                         
??BSC@mmcerror@@QEBA_NXZ                                                                             0xaadb641a                                         
??_FSC@mmcerror@@QEAAXXZ                                                                             0x763622e7                                         
?AddItem@BookKeeping@@SAJAEAVItemHandle@@@Z                                                          0x4469f8ba                                         
?AddRef@CMMCStrongReferences@@SAKXZ                                                                  0x14429afa                                         
?AddSnapin@BookKeeping@@SAJPEBVCStr@@AEAH@Z                                                          0x58bb9d94                                         
?AddSnapinInterface@BookKeeping@@SA_NPEAUIUnknown@@PEBGAEAH@Z                                        0x92823841                                         
?Attach@DialogBoxDpiTracker@@QEAAPEAXXZ                                                              0xfd396733                                         
?CheckCallingThreadID@SC@mmcerror@@QEAAXXZ                                                           0x53cb22c0                                         
?Clear@SC@mmcerror@@QEAAXXZ                                                                          0x195365ca                                         
?DumpWatsonTables@BookKeeping@@SAJPEAXPEBGH@Z                                                        0x8baf700b                                         
?EnableDiagnosticMessageBox@BookKeeping@@SA_N_N@Z                                                    0x3951d3b4                                         
?ExceptionFilter@CMMCWatsonAPI@@SAJPEAU_EXCEPTION_POINTERS@@H@Z                                      0x9a46fe5b                                         
?FatalError@SC@mmcerror@@QEBAXXZ                                                                     0x967dcd76                                         
?FindAllSnapinUIThreads@BookKeeping@@SAJHPEAPEAKPEAK@Z                                               0xa90e64b6                                         
?FindAllSnapinUIThreads@BookKeeping@@SAJPEAPEAKPEAK@Z                                                0xfe5b23ee                                         
?FindItem@BookKeeping@@SAPEAVItemHandle@@PEAX@Z                                                      0x846a4925                                         
?FindSnapin@BookKeeping@@SAAEBVSnapinBookkeepingInfo@@H@Z                                            0xa8a132f3                                         
?FindSnapin@BookKeeping@@SAAEBVSnapinBookkeepingInfo@@PEAUIUnknown@@@Z                               0x7ed5d34f                                         
?FindSnapin@BookKeeping@@SAAEBVSnapinBookkeepingInfo@@PEBVCStr@@@Z                                   0x9881f1d4                                         
?ForceException@CMMCWatsonAPI@@SAXH@Z                                                                0x96cd1586                                         
?FormatErrorIds@@YAXIVSC@mmcerror@@IPEAG@Z                                                           0xb3db1ba5                                         
?FormatErrorShort@@YAXVSC@mmcerror@@IPEAG@Z                                                          0x7d2f250c                                         
?FormatErrorString@@YAXPEBGVSC@mmcerror@@IPEAGH@Z                                                    0xda5b0db9                                         
?FromLastError@SC@mmcerror@@QEAAAEAV12@XZ                                                            0xaa06f3bd                                         
?FromMMC@SC@mmcerror@@QEAAAEAV12@J@Z                                                                 0x0543b62e                                         
?FromWin32@SC@mmcerror@@QEAAAEAV12@J@Z                                                               0xf10b49c4                                         
?FxSnapinException@BookKeeping@@SA_NHPEBG000HPEAUHWND__@@@Z                                          0xd286d4bb                                         
?GetCode@SC@mmcerror@@QEBAJXZ                                                                        0x33c44151                                         
?GetErrorMessage@SC@mmcerror@@QEBAXIPEAG@Z                                                           0xc28132a1                                         
?GetFacility@SC@mmcerror@@AEBA?AW4facility_type@12@XZ                                                0xbca32235                                         
?GetFunctionName@SC@mmcerror@@QEBAPEBGXZ                                                             0x23f02971                                         
?GetHWnd@SC@mmcerror@@SAPEAUHWND__@@XZ                                                               0xa94b4c12                                         
?GetHelpFile@SC@mmcerror@@SAPEBGXZ                                                                   0x4c8fdaae                                         
?GetHelpID@SC@mmcerror@@QEAAKXZ                                                                      0x9d28314c                                         
?GetHinst@SC@mmcerror@@SAPEAUHINSTANCE__@@XZ                                                         0x76136ad3                                         
?GetMainThreadID@SC@mmcerror@@SAKXZ                                                                  0x5f055adc                                         
?GetModalHWND@SC@mmcerror@@SAPEAUHWND__@@XZ                                                          0x79f5ccbf                                         
?GetNewSnapinInstanceId@BookKeeping@@SAHXZ                                                           0x10403775                                         
?GetSingletonObject@CMMCStrongReferences@@CAAEAV1@XZ                                                 0x3bb4df51                                         
?GetSnapinModuleName@BookKeeping@@SAPEBGH@Z                                                          0x1689c3b6                                         
?GetSnapinName@BookKeeping@@SAPEBGH@Z                                                                0x0e3d8b70                                         
