DLL Path: C:\Windows\System32\sti.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0BUFFER@@QEAA@I@Z                                                                                  0x4542bc48                                         
??0BUFFER_CHAIN@@QEAA@XZ                                                                             0xfb0b0f39                                         
??0BUFFER_CHAIN_ITEM@@QEAA@I@Z                                                                       0x7fed4478                                         
??1BUFFER@@QEAA@XZ                                                                                   0xb8f91e18                                         
??1BUFFER_CHAIN@@QEAA@XZ                                                                             0x6db759da                                         
??1BUFFER_CHAIN_ITEM@@QEAA@XZ                                                                        0x2e9f51a8                                         
??_FBUFFER@@QEAAXXZ                                                                                  0x6f3b9264                                         
??_FBUFFER_CHAIN_ITEM@@QEAAXXZ                                                                       0x782bfd74                                         
?QueryPtr@BUFFER@@QEBAPEAXXZ                                                                         0xa6039ae3                                         
?QuerySize@BUFFER@@QEBAIXZ                                                                           0xc2736003                                         
?QueryUsed@BUFFER_CHAIN_ITEM@@QEBAKXZ                                                                0x3731a84b                                         
?SetUsed@BUFFER_CHAIN_ITEM@@QEAAXK@Z                                                                 0x4332a740                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
GetProxyDllInfo                                                                                      0x64ea9e0f                                         
MigrateRegisteredSTIAppsForWIAEvents                                                                 0xd6551f1d                                         
SelectDeviceDialog2                                                                                  0x72a3a8b7                                         
StiCreateInstance                                                                                    0x97603d9e                                         
StiCreateInstanceW                                                                                   0x8367f1b5                                         
