DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?IsWriteLocked@CSpinLock@@QEBA_NXZ                                                                   0xe470dddb                                         
?IsWriteUnlocked@CCritSec@@QEBA_NXZ                                                                  0x45291e88                                         
?IsWriteUnlocked@CFakeLock@@QEBA_NXZ                                                                 0x9ada101b                                         
?IsWriteUnlocked@CLKRHashTable@@QEBA_NXZ                                                             0x71cd5c30                                         
?IsWriteUnlocked@CLKRLinearHashTable@@QEBA_NXZ                                                       0xbeeea64b                                         
?IsWriteUnlocked@CReaderWriterLock2@@QEBA_NXZ                                                        0x78e4eae6                                         
?IsWriteUnlocked@CReaderWriterLock3@@QEBA_NXZ                                                        0xfe41a027                                         
?IsWriteUnlocked@CReaderWriterLock3AR@@QEBA_NXZ                                                      0x62b7cc5a                                         
?IsWriteUnlocked@CReaderWriterLock@@QEBA_NXZ                                                         0x51a29cb4                                         
?IsWriteUnlocked@CSmallSpinLock@@QEBA_NXZ                                                            0xa6c5b617                                         
?IsWriteUnlocked@CSpinLock@@QEBA_NXZ                                                                 0xf1d699de                                         
?Key@CLKRHashTable_Iterator@@QEBA?B_KXZ                                                              0xc9a3ee64                                         
?Key@CLKRLinearHashTable_Iterator@@QEBA?B_KXZ                                                        0x32d1af5f                                         
?Last@CDoubleList@@QEBAQEAVCListEntry@@XZ                                                            0xcb4a285b                                         
?Last@CLockedDoubleList@@QEAAQEAVCListEntry@@XZ                                                      0x28e3048c                                         
?Lock@CLockedDoubleList@@QEAAXXZ                                                                     0x8e4dd91b                                         
?Lock@CLockedSingleList@@QEAAXXZ                                                                     0x8fa99982                                         
?LockType@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0xe1fc997a                                         
?LockType@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0x78c33df9                                         
?LockType@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0xb0a0e8d7                                         
?LockType@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0x33b522fd                                         
?LockType@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0x91ac11de                                         
?LockType@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0xa4e446df                                         
?LockType@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0x79e3b39f                                         
?LockType@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_LOCKTYPE@@XZ                                    0x8d1be8a0                                         
?MaxSize@CLKRHashTable@@QEBAKXZ                                                                      0x4c331a73                                         
?MaxSize@CLKRLinearHashTable@@QEBAKXZ                                                                0xdd7494ee                                         
?MpHeapCompact@@YA_KPEAX@Z                                                                           0x71caba32                                         
?MultiKeys@CLKRHashTable@@QEBA_NXZ                                                                   0xaaa614bb                                         
?MultiKeys@CLKRLinearHashTable@@QEBA_NXZ                                                             0xe1505b16                                         
?MutexType@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0xdb6a8494                                         
?MutexType@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x72312913                                         
?MutexType@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0xaa0ed3f1                                         
?MutexType@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x2d230e17                                         
?MutexType@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x8b19fcf8                                         
?MutexType@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x9e5231f9                                         
?MutexType@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x73519eb9                                         
?MutexType@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_RW_MUTEX@@XZ                                   0x8689d3ba                                         
?NumSubTables@CLKRHashTable@@QEBAHXZ                                                                 0xaaacdd04                                         
?NumSubTables@CLKRHashTable@@SA?AW4LK_TABLESIZE@@AEAK0_N@Z                                           0x4c9fc892                                         
?NumSubTables@CLKRLinearHashTable@@QEBAHXZ                                                           0x0be9867f                                         
?NumSubTables@CLKRLinearHashTable@@SA?AW4LK_TABLESIZE@@AEAK0_N@Z                                     0x3a6c784d                                         
?PerLockSpin@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0x905cdd17                                         
?PerLockSpin@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0xbacfa916                                         
?PerLockSpin@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0xad2392f4                                         
?PerLockSpin@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0xb674701a                                         
?PerLockSpin@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0x0219e77b                                         
?PerLockSpin@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0xb076b4fc                                         
?PerLockSpin@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0x9cde81bc                                         
?PerLockSpin@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_PERLOCK_SPIN@@XZ                             0x4b3b4f3d                                         
?Pop@CLockedSingleList@@QEAAQEAVCSingleListEntry@@XZ                                                 0x186aceb0                                         
?Pop@CSingleList@@QEAAQEAVCSingleListEntry@@XZ                                                       0x797c965e                                         
?Push@CLockedSingleList@@QEAAXQEAVCSingleListEntry@@@Z                                               0x19c83481                                         
?Push@CSingleList@@QEAAXQEAVCSingleListEntry@@@Z                                                     0x7a87e92f                                         
?QueueType@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0xaf44d251                                         
?QueueType@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0x12469290                                         
?QueueType@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0xb83a6cee                                         
?QueueType@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0x5145c894                                         
?QueueType@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0x08b3f3b5                                         
?QueueType@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0xcacd6cf6                                         
?QueueType@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0xdd5b09b6                                         
?QueueType@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_QUEUE_TYPE@@XZ                                 0x9f7482f7                                         
?ReadLock@CCritSec@@QEAAXXZ                                                                          0x29cfa2fb                                         
?ReadLock@CFakeLock@@QEAAXXZ                                                                         0x7ae81f4e                                         
?ReadLock@CLKRHashTable@@QEBAXXZ                                                                     0xc10801c4                                         
?ReadLock@CLKRLinearHashTable@@QEBAXXZ                                                               0xdef66f3f                                         
?ReadLock@CReaderWriterLock2@@QEAAXXZ                                                                0x30f61ad9                                         
?ReadLock@CReaderWriterLock3@@QEAAXXZ                                                                0x3500abfa                                         
?ReadLock@CReaderWriterLock3AR@@QEAAXXZ                                                              0xc3b5740d                                         
?ReadLock@CReaderWriterLock@@QEAAXXZ                                                                 0xa67395c7                                         
?ReadLock@CSmallSpinLock@@QEAAXXZ                                                                    0x9c03c76a                                         
?ReadLock@CSpinLock@@QEAAXXZ                                                                         0x75c8fcb1                                         
?ReadOrWriteLock@CCritSec@@QEAA_NXZ                                                                  0xf99d455c                                         
?ReadOrWriteLock@CFakeLock@@QEAA_NXZ                                                                 0x2878258f                                         
?ReadOrWriteLock@CReaderWriterLock3@@QEAA_NXZ                                                        0x11435d3b                                         
?ReadOrWriteLock@CReaderWriterLock3AR@@QEAA_NXZ                                                      0x2709caae                                         
?ReadOrWriteLock@CSpinLock@@QEAA_NXZ                                                                 0x7f74af52                                         
?ReadOrWriteUnlock@CCritSec@@QEAAX_N@Z                                                               0xf14a0dbf                                         
?ReadOrWriteUnlock@CFakeLock@@QEAAX_N@Z                                                              0x8ab564b2                                         
?ReadOrWriteUnlock@CReaderWriterLock3@@QEAAX_N@Z                                                     0xeecba13e                                         
?ReadOrWriteUnlock@CReaderWriterLock3AR@@QEAAX_N@Z                                                   0x6a7599d1                                         
?ReadOrWriteUnlock@CSpinLock@@QEAAX_N@Z                                                              0xc14326d5                                         
?ReadUnlock@CCritSec@@QEAAXXZ                                                                        0x5bc406be                                         
?ReadUnlock@CFakeLock@@QEAAXXZ                                                                       0xeb68fb71                                         
?ReadUnlock@CLKRHashTable@@QEBAXXZ                                                                   0x01103767                                         
?ReadUnlock@CLKRLinearHashTable@@QEBAXXZ                                                             0xd6e71322                                         
?ReadUnlock@CReaderWriterLock2@@QEAAXXZ                                                              0xd3a04e5c                                         
?ReadUnlock@CReaderWriterLock3@@QEAAXXZ                                                              0xd7aadf7d                                         
?ReadUnlock@CReaderWriterLock3AR@@QEAAXXZ                                                            0xb9ba9450                                         
?ReadUnlock@CReaderWriterLock@@QEAAXXZ                                                               0x7513e4ea                                         
?ReadUnlock@CSmallSpinLock@@QEAAXXZ                                                                  0xdd12b16d                                         
?ReadUnlock@CSpinLock@@QEAAXXZ                                                                       0xe649d8d4                                         
?Record@CLKRHashTable_Iterator@@QEBAPEBXXZ                                                           0x731db75e                                         
?Record@CLKRLinearHashTable_Iterator@@QEBAPEBXXZ                                                     0xe15078d9                                         
?Recursion@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0xbbdf4718                                         
?Recursion@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0x2b7a7b77                                         
?Recursion@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_RECURSION@@XZ                                  0x5f0d8215                                         
?Recursion@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_RECURSION@@XZ                                  0x44a900fb                                         
?Recursion@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0x617dcbfc                                         
?Recursion@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0xdbbca11d                                         
?Recursion@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0x50a9a5dd                                         
?Recursion@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_RECURSION@@XZ                                  0xcae87afe                                         
?ReleaseVersionInfo@CMdVersionInfo@@SAXXZ                                                            0x05070c9b                                         
?RemoveEntry@CDoubleList@@SAXQEAVCListEntry@@@Z                                                      0xe34e2742                                         
?RemoveEntry@CLockedDoubleList@@QEAAXQEAVCListEntry@@@Z                                              0x332257f8                                         
?RemoveHead@CDoubleList@@QEAAQEAVCListEntry@@XZ                                                      0xbbb4caa6                                         
?RemoveHead@CLockedDoubleList@@QEAAQEAVCListEntry@@XZ                                                0x57b1a638                                         
?RemoveTail@CDoubleList@@QEAAQEAVCListEntry@@XZ                                                      0x3f783b3e                                         
?RemoveTail@CLockedDoubleList@@QEAAQEAVCListEntry@@XZ                                                0x90dd28d0                                         
?RestoreFile@CEXAutoBackupFile@@QEAAJXZ                                                              0x8b4db8ab                                         
?SetBucketLockSpinCount@CLKRHashTable@@QEAAXG@Z                                                      0xaf8a9b83                                         
?SetBucketLockSpinCount@CLKRLinearHashTable@@QEAAXG@Z                                                0xc0f8191e                                         
?SetDefaultSpinAdjustmentFactor@CCritSec@@SAXN@Z                                                     0x17637a31                                         
?SetDefaultSpinAdjustmentFactor@CFakeLock@@SAXN@Z                                                    0x025128a4                                         
?SetDefaultSpinAdjustmentFactor@CReaderWriterLock2@@SAXN@Z                                           0xb905a34f                                         
?SetDefaultSpinAdjustmentFactor@CReaderWriterLock3@@SAXN@Z                                           0x2d821450                                         
?SetDefaultSpinAdjustmentFactor@CReaderWriterLock3AR@@SAXN@Z                                         0xe8bdd703                                         
?SetDefaultSpinAdjustmentFactor@CReaderWriterLock@@SAXN@Z                                            0x7964f7fd                                         
?SetDefaultSpinAdjustmentFactor@CSmallSpinLock@@SAXN@Z                                               0x6915dfc0                                         
?SetDefaultSpinAdjustmentFactor@CSpinLock@@SAXN@Z                                                    0x860a65a7                                         
?SetDefaultSpinCount@CCritSec@@SAXG@Z                                                                0x595479f5                                         
?SetDefaultSpinCount@CFakeLock@@SAXG@Z                                                               0x8265d9c8                                         
?SetDefaultSpinCount@CReaderWriterLock2@@SAXG@Z                                                      0xc6154cd3                                         
?SetDefaultSpinCount@CReaderWriterLock3@@SAXG@Z                                                      0x3a91bdd4                                         
?SetDefaultSpinCount@CReaderWriterLock3AR@@SAXG@Z                                                    0x78dc7f47                                         
?SetDefaultSpinCount@CReaderWriterLock@@SAXG@Z                                                       0xdea36421                                         
?SetDefaultSpinCount@CSmallSpinLock@@SAXG@Z                                                          0xc0879bc4                                         
?SetDefaultSpinCount@CSpinLock@@SAXG@Z                                                               0x061f16cb                                         
?SetSpinCount@CCritSec@@QEAA_NG@Z                                                                    0x225dd8c9                                         
?SetSpinCount@CCritSec@@SAKPEAPEAVCCriticalSection@@K@Z                                              0x75cf63ac                                         
?SetSpinCount@CFakeLock@@QEAA_NG@Z                                                                   0xcf9b271c                                         
?SetSpinCount@CReaderWriterLock2@@QEAA_NG@Z                                                          0x006334a7                                         
?SetSpinCount@CReaderWriterLock3@@QEAA_NG@Z                                                          0x31569208                                         
?SetSpinCount@CReaderWriterLock3AR@@QEAA_NG@Z                                                        0x8943d55b                                         
?SetSpinCount@CReaderWriterLock@@QEAA_NG@Z                                                           0x93e349d5                                         
?SetSpinCount@CSmallSpinLock@@QEAA_NG@Z                                                              0x7dbfd478                                         
?SetSpinCount@CSpinLock@@QEAA_NG@Z                                                                   0x0628e93f                                         
?SetTableLockSpinCount@CLKRHashTable@@QEAAXG@Z                                                       0x38b67f6d                                         
?SetTableLockSpinCount@CLKRLinearHashTable@@QEAAXG@Z                                                 0x7efdc488                                         
?Size@CLKRHashTable@@QEBAKXZ                                                                         0x36f1242d                                         
?Size@CLKRLinearHashTable@@QEBAKXZ                                                                   0x18a58228                                         
?Swap@CSingleList@@QEAAXAEAV1@@Z                                                                     0x902251b8                                         
?TryConvertSharedToExclusive@CReaderWriterLock3@@QEAA_NXZ                                            0xe59aa33c                                         
?TryConvertSharedToExclusive@CReaderWriterLock3AR@@QEAA_NXZ                                          0x6e4a94ef                                         
?TryReadLock@CCritSec@@QEAA_NXZ                                                                      0x66b1c92f                                         
?TryReadLock@CFakeLock@@QEAA_NXZ                                                                     0x381d23c2                                         
?TryReadLock@CReaderWriterLock2@@QEAA_NXZ                                                            0xbe244f8d                                         
?TryReadLock@CReaderWriterLock3@@QEAA_NXZ                                                            0x438104ce                                         
?TryReadLock@CReaderWriterLock3AR@@QEAA_NXZ                                                          0xdf4fa301                                         
?TryReadLock@CReaderWriterLock@@QEAA_NXZ                                                             0xf461785b                                         
?TryReadLock@CSmallSpinLock@@QEAA_NXZ                                                                0x6081b6be                                         
?TryReadLock@CSpinLock@@QEAA_NXZ                                                                     0x8f19ad85                                         
?TryReadOrWriteLock@CReaderWriterLock3@@QEAA_NAEA_N@Z                                                0x1fb2e896                                         
?TryReadOrWriteLock@CReaderWriterLock3AR@@QEAA_NAEA_N@Z                                              0xe26329a9                                         
?TryWriteLock@CCritSec@@QEAA_NXZ                                                                     0x8f7f281e                                         
?TryWriteLock@CFakeLock@@QEAA_NXZ                                                                    0x7a966091                                         
?TryWriteLock@CReaderWriterLock2@@QEAA_NXZ                                                           0x974c653c                                         
?TryWriteLock@CReaderWriterLock3@@QEAA_NXZ                                                           0x1ca91a7d                                         
?TryWriteLock@CReaderWriterLock3AR@@QEAA_NXZ                                                         0xa2d3e070                                         
?TryWriteLock@CReaderWriterLock@@QEAA_NXZ                                                            0xfaf6142a                                         
?TryWriteLock@CSmallSpinLock@@QEAA_NXZ                                                               0xeefc4ced                                         
?TryWriteLock@CSpinLock@@QEAA_NXZ                                                                    0xd192ea54                                         
?UndoBackup@CEXAutoBackupFile@@QEAAJXZ                                                               0x43b4a3b3                                         
?Unlock@CLockedDoubleList@@QEAAXXZ                                                                   0x4511b13e                                         
?Unlock@CLockedSingleList@@QEAAXXZ                                                                   0x466d71a5                                         
?ValidSignature@CLKRHashTable@@QEBA_NXZ                                                              0x0f747a36                                         
?ValidSignature@CLKRLinearHashTable@@QEBA_NXZ                                                        0xded1b0d1                                         
?WaitType@?$CLockBase@$00$00$02$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0xf2b05d71                                         
?WaitType@?$CLockBase@$01$00$00$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x624b91d0                                         
?WaitType@?$CLockBase@$02$00$00$00$00$00@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x95de986e                                         
?WaitType@?$CLockBase@$03$00$00$01$02$02@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x7b7a1754                                         
?WaitType@?$CLockBase@$04$01$01$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x984ee255                                         
?WaitType@?$CLockBase@$05$01$01$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x128db776                                         
?WaitType@?$CLockBase@$06$01$00$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x877abc36                                         
?WaitType@?$CLockBase@$07$01$00$00$02$01@@SA?AW4LOCK_WAIT_TYPE@@XZ                                   0x01b99157                                         
?WriteLock@CCritSec@@QEAAXXZ                                                                         0xf9ad082a                                         
?WriteLock@CFakeLock@@QEAAXXZ                                                                        0x46722a5d                                         
?WriteLock@CLKRHashTable@@QEAAXXZ                                                                    0x099ce3d2                                         
?WriteLock@CLKRLinearHashTable@@QEAAXXZ                                                              0xeb26c08d                                         
?WriteLock@CReaderWriterLock2@@QEAAXXZ                                                               0x489b06c8                                         
?WriteLock@CReaderWriterLock3@@QEAAXXZ                                                               0x4ca597e9                                         
?WriteLock@CReaderWriterLock3AR@@QEAAXXZ                                                             0x584517bc                                         
?WriteLock@CReaderWriterLock@@QEAAXXZ                                                                0x88233fd6                                         
?WriteLock@CSmallSpinLock@@QEAAXXZ                                                                   0xf98a13d9                                         
?WriteLock@CSpinLock@@QEAAXXZ                                                                        0x415307c0                                         
?WriteUnlock@CCritSec@@QEAAXXZ                                                                       0x988f73ad                                         
?WriteUnlock@CFakeLock@@QEAAXXZ                                                                      0xc1a20640                                         
?WriteUnlock@CLKRHashTable@@QEBAXXZ                                                                  0x0f6011b6                                         
?WriteUnlock@CLKRLinearHashTable@@QEBAXXZ                                                            0xfd6b2cb1                                         
?WriteUnlock@CReaderWriterLock2@@QEAAXXZ                                                             0x682ff20b                                         
?WriteUnlock@CReaderWriterLock3@@QEAAXXZ                                                             0x6c3a832c                                         
?WriteUnlock@CReaderWriterLock3AR@@QEAAXXZ                                                           0xb0c1dfbf                                         
?WriteUnlock@CReaderWriterLock@@QEAAXXZ                                                              0x81564eb9                                         
?WriteUnlock@CSmallSpinLock@@QEAAXXZ                                                                 0xb55dd59c                                         
?WriteUnlock@CSpinLock@@QEAAXXZ                                                                      0xbc82e3a3                                         
?_AddRef@CLKRLinearHashTable_Iterator@@IEBAXH@Z                                                      0x6b12f970                                         
?_AddRefRecord@CLKRLinearHashTable@@AEBAXPEBXH@Z                                                     0x41cd8d4d                                         
?_AllocateNodeClump@CLKRLinearHashTable@@AEAAQEAVCNodeClump@@XZ                                      0x312187f3                                         
?_AllocateSegment@CLKRLinearHashTable@@AEBAQEAVCSegment@@XZ                                          0xdbecfa6c                                         
?_AllocateSegmentDirectory@CLKRLinearHashTable@@AEAAQEAVCDirEntry@@_K@Z                              0xde875d90                                         
?_AllocateSubTable@CLKRHashTable@@AEAAQEAVCLKRLinearHashTable@@PEBDP6A?B_KPEBX@ZP6AK_K@ZP6A_N33@ZP6AX1H@ZNKPEAV1@_N8@Z 0xd7ac3701                                         
?_AllocateSubTableArray@CLKRHashTable@@AEAAQEAPEAVCLKRLinearHashTable@@_K@Z                          0xf86e6af3                                         
?_Apply@CLKRLinearHashTable@@AEAAKP6A?AW4LK_ACTION@@PEBXPEAX@Z1W4LK_LOCKTYPE@@AEAW4LK_PREDICATE@@@Z  0xd839f8bc                                         
?_ApplyIf@CLKRLinearHashTable@@AEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@ZP6A?AW4LK_ACTION@@01@Z1W4LK_LOCKTYPE@@AEAW42@@Z 0xdceec04a                                         
?_Bucket@CLKRLinearHashTable@@AEBAQEAVCBucket@@K@Z                                                   0x7c50b590                                         
?_BucketAddress@CLKRLinearHashTable@@AEBAKK@Z                                                        0xbf9fd593                                         
?_BucketLock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@W4LK_LOCKTYPE@@@Z                                0xe3562a32                                         
?_BucketReadLock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@@Z                                           0x20076f22                                         
?_BucketReadUnlock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@@Z                                         0xa107bf25                                         
?_BucketUnlock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@W4LK_LOCKTYPE@@@Z                              0x0a3994d5                                         
?_BucketWriteLock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@@Z                                          0x36d2f0f1                                         
?_BucketWriteUnlock@CLKRLinearHashTable@@AEBAXQEAVCBucket@@@Z                                        0x98baf0b4                                         
?_CalcKeyHash@CLKRHashTable@@AEBAK_K@Z                                                               0x4ec19133                                         
?_CalcKeyHash@CLKRLinearHashTable@@AEBAK_K@Z                                                         0x776394ee                                         
?_Clear@CLKRLinearHashTable@@AEAAX_N@Z                                                               0xc56d9084                                         
?_CmpExch@CReaderWriterLock2@@AEAA_NJJ@Z                                                             0xf9beb59c                                         
?_CmpExch@CReaderWriterLock3@@AEAA_NJJ@Z                                                             0x491dbf1d                                         
?_CmpExch@CReaderWriterLock3AR@@AEAA_NJJ@Z                                                           0x7685aad0                                         
?_CmpExch@CReaderWriterLock@@AEAA_NJJ@Z                                                              0xc945218a                                         
?_Contract@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@XZ                                               0x1f988555                                         
?_CurrentThreadId@CReaderWriterLock3@@CAJXZ                                                          0x658540fa                                         
?_CurrentThreadId@CReaderWriterLock3AR@@CAJXZ                                                        0x032770cd                                         
?_CurrentThreadId@CSmallSpinLock@@CAJXZ                                                              0x9cee0f6a                                         
?_CurrentThreadId@CSpinLock@@CAJXZ                                                                   0x5d601db1                                         
?_DeleteIf@CLKRLinearHashTable@@AEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@Z1AEAW42@@Z                       0x943df16a                                         
?_DeleteKey@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@_KK@Z                                           0xdef7fb50                                         
?_DeleteNode@CLKRLinearHashTable@@AEAA_NQEAVCBucket@@AEAPEAVCNodeClump@@1AEAH@Z                      0x09f93889                                         
?_DeleteRecord@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@PEBXK@Z                                      0xcd716f4b                                         
?_EqualKeys@CLKRLinearHashTable@@AEBA_N_K0@Z                                                         0xe54e73f4                                         
?_Erase@CLKRLinearHashTable@@AEAA_NAEAVCLKRLinearHashTable_Iterator@@K@Z                             0x91118239                                         
?_Expand@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@XZ                                                 0x346ecdd7                                         
?_ExtractKey@CLKRHashTable@@AEBA?B_KPEBX@Z                                                           0xd560ebdc                                         
?_ExtractKey@CLKRLinearHashTable@@AEBA?B_KPEBX@Z                                                     0xb9ae4777                                         
?_FindBucket@CLKRLinearHashTable@@AEBAQEAVCBucket@@K_N@Z                                             0xa2b5025e                                         
?_FindKey@CLKRLinearHashTable@@AEBA?AW4LK_RETCODE@@_KKPEAPEBXPEAVCLKRLinearHashTable_Iterator@@@Z    0xd5a9880c                                         
?_FindRecord@CLKRLinearHashTable@@AEBA?AW4LK_RETCODE@@PEBXK@Z                                        0x07ead5fa                                         
?_FreeNodeClump@CLKRLinearHashTable@@AEAA_NPEAVCNodeClump@@@Z                                        0x8cfabde4                                         
?_FreeSegment@CLKRLinearHashTable@@AEBA_NPEAVCSegment@@@Z                                            0xe1db461d                                         
?_FreeSegmentDirectory@CLKRLinearHashTable@@AEAA_NXZ                                                 0xdd81a747                                         
?_FreeSubTable@CLKRHashTable@@AEAA_NPEAVCLKRLinearHashTable@@@Z                                      0xc56de43d                                         
?_FreeSubTableArray@CLKRHashTable@@AEAA_NPEAPEAVCLKRLinearHashTable@@@Z                              0x0139ff32                                         
?_H0@CLKRLinearHashTable@@AEBAKK@Z                                                                   0xe6e226a7                                         
?_H0@CLKRLinearHashTable@@CAKKK@Z                                                                    0x1c283ead                                         
?_H1@CLKRLinearHashTable@@AEBAKK@Z                                                                   0xb3a6f668                                         
?_H1@CLKRLinearHashTable@@CAKKK@Z                                                                    0xb5c19a4e                                         
?_Increment@CLKRHashTable_Iterator@@IEAA_N_N@Z                                                       0x9f8cad6d                                         
?_Increment@CLKRLinearHashTable_Iterator@@IEAA_N_N@Z                                                 0x849d96a8                                         
?_Initialize@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@P6A?B_KPEBX@ZP6AK_K@ZP6A_N22@ZP6AX0H@ZPEBDNK@Z 0xd09b48b9                                         
?_InsertRecord@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@PEBXK_NPEAPEBXPEAVCLKRLinearHashTable_Iterator@@@Z 0x8256a127                                         
?_InsertThisIntoGlobalList@CLKRHashTable@@AEAAXXZ                                                    0xa7042e61                                         
?_InsertThisIntoGlobalList@CLKRLinearHashTable@@AEAAXXZ                                              0x3572465c                                         
?_IsLocked@CSpinLock@@AEBA_NXZ                                                                       0xb236145f                                         
?_IsNodeCompact@CLKRLinearHashTable@@AEBAHQEAVCBucket@@@Z                                            0xa1f469f8                                         
?_IsValidIterator@CLKRHashTable@@AEBA_NAEBVCLKRHashTable_Iterator@@@Z                                0x2e3c9260                                         
?_IsValidIterator@CLKRLinearHashTable@@AEBA_NAEBVCLKRLinearHashTable_Iterator@@@Z                    0x1e63a9f6                                         
?_Lock@CSpinLock@@AEAAXXZ                                                                            0x11fee684                                         
?_LockSpin@CReaderWriterLock2@@AEAAX_N@Z                                                             0x5580209b                                         
?_LockSpin@CReaderWriterLock3@@AEAAXW4SPIN_TYPE@1@@Z                                                 0xd059bee6                                         
?_LockSpin@CReaderWriterLock3AR@@AEAAXW4SPIN_TYPE@1@@Z                                               0x4b35d779                                         
?_LockSpin@CReaderWriterLock@@AEAAX_N@Z                                                              0x963d1769                                         
?_LockSpin@CSmallSpinLock@@AEAAXXZ                                                                   0x0a7e48f7                                         
?_LockSpin@CSpinLock@@AEAAXXZ                                                                        0x6028481e                                         
?_MergeRecordSets@CLKRLinearHashTable@@AEAA?AW4LK_RETCODE@@PEAVCBucket@@PEAVCNodeClump@@1@Z          0xcd62e621                                         
