DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??4?$CLockBase@$05$01$01$00$02$01@@QEAAAEAV0@AEBV0@@Z                                                0xb8065db0                                         
??4?$CLockBase@$06$01$00$00$02$01@@QEAAAEAV0@$$QEAV0@@Z                                              0x79ea3ea7                                         
??4?$CLockBase@$06$01$00$00$02$01@@QEAAAEAV0@AEBV0@@Z                                                0x23bed270                                         
??4?$CLockBase@$07$01$00$00$02$01@@QEAAAEAV0@$$QEAV0@@Z                                              0x1af1ab48                                         
??4?$CLockBase@$07$01$00$00$02$01@@QEAAAEAV0@AEBV0@@Z                                                0x2910a2d1                                         
??4CCritSec@@QEAAAEAV0@AEBV0@@Z                                                                      0x2d376e14                                         
??4CDoubleList@@QEAAAEAV0@AEBV0@@Z                                                                   0x193735be                                         
??4CEXAutoBackupFile@@QEAAAEAV0@AEBV0@@Z                                                             0x14575953                                         
??4CExFileOperation@@QEAAAEAV0@AEBV0@@Z                                                              0x2ddc68d5                                         
??4CFakeLock@@QEAAAEAV0@AEBV0@@Z                                                                     0x43a49647                                         
??4CLKRHashTableStats@@QEAAAEAV0@$$QEAV0@@Z                                                          0xad8f4fc2                                         
??4CLKRHashTableStats@@QEAAAEAV0@AEBV0@@Z                                                            0x5d26e0cb                                         
??4CLKRHashTable_Iterator@@QEAAAEAV0@$$QEAV0@@Z                                                      0xf0eacddc                                         
??4CLKRHashTable_Iterator@@QEAAAEAV0@AEBV0@@Z                                                        0xc7781065                                         
??4CLKRLinearHashTable_Iterator@@QEAAAEAV0@AEBV0@@Z                                                  0xe48fe3e0                                         
??4CLockedDoubleList@@QEAAAEAV0@$$QEAV0@@Z                                                           0xb1e61ec7                                         
??4CLockedDoubleList@@QEAAAEAV0@AEBV0@@Z                                                             0xf5042a90                                         
??4CLockedSingleList@@QEAAAEAV0@$$QEAV0@@Z                                                           0xd1310e8e                                         
??4CLockedSingleList@@QEAAAEAV0@AEBV0@@Z                                                             0xbf727c97                                         
??4CMdVersionInfo@@QEAAAEAV0@$$QEAV0@@Z                                                              0x119c1661                                         
??4CMdVersionInfo@@QEAAAEAV0@AEBV0@@Z                                                                0xa7c373aa                                         
??4CReaderWriterLock2@@QEAAAEAV0@AEBV0@@Z                                                            0x06e1d0b2                                         
??4CReaderWriterLock3@@QEAAAEAV0@AEBV0@@Z                                                            0x57eecb33                                         
??4CReaderWriterLock3AR@@QEAAAEAV0@AEBV0@@Z                                                          0xd98364e6                                         
??4CReaderWriterLock@@QEAAAEAV0@AEBV0@@Z                                                             0x38ce7d20                                         
