DLL Path: C:\Windows\System32\mpeval.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllMain                                                                                              0x79f31ec6                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
GetProviderClassID                                                                                   0xdc3bff53                                         
MI_Main                                                                                              0xdc2f74ff                                         
MPEvalTrap                                                                                           0xe6ebf541                                         
NITS_PRESENCE_STUB                                                                                   0xa3f793f4                                         
NITS_STUB                                                                                            0xd96ad480                                         
monitoring_platform_evaluatorFT_V1                                                                   0xfc360321                                         
