DLL Path: C:\Windows\System32\rdpbase.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CRDPCache@@QEAA@XZ                                                                                0xcf7ee33a                                         
??0CRDPENCONResolver@@QEAA@XZ                                                                        0xbf96c88b                                         
??0NSCodecDecompressor@@QEAA@_N@Z                                                                    0xfc44de67                                         
??0PipeETWEvents@@QEAA@XZ                                                                            0x5af88bd0                                         
??0RdpEncodeBuffer@@QEAA@PEAVITSObjectPool@@@Z                                                       0xf88bf000                                         
??0RdpGfxProtocolBaseDecoder@@IEAA@XZ                                                                0x29b07f63                                         
??0SSECBCHash2@@QEAA@XZ                                                                              0xc7cc90c6                                         
??1CRDPCache@@UEAA@XZ                                                                                0xb4423c7f                                         
??1CRDPENCONResolver@@QEAA@XZ                                                                        0xd30fdfcc                                         
??1Evict@@QEAA@XZ                                                                                    0x169d0239                                         
??1RdpGfxProtocolBaseDecoder@@IEAA@XZ                                                                0x67e947a4                                         
?AddConnection@CRDPENCONResolver@@QEAAJPEAGKH@Z                                                      0xa7ce9377                                         
?AddPortMapping@CRDPENCConnectorStringSerializer@@UEAAJPEAGK@Z                                       0xa99297c1                                         
?AlphaCompressor__CreateInstance@@YAJPEAPEAUIRdpImageCompressor@@@Z                                  0x1b3658dc                                         
?ClearCache@CRDPCache@@UEAAJXZ                                                                       0x9902aeb4                                         
?Compress@NSCodecCompressor@@QEAA_NAEBVPixelMap@@_NPEAEIAEAI@Z                                       0x4aa722da                                         
?CompressRdp8__CreateInstance@@YAJPEAPEAVIRdpPipeCompress@@I@Z                                       0xf802f107                                         
?CreateInstance@CRDPENCONPort@@SAJPEAUaddrinfo@@HPEAXPEAPEAV1@@Z                                     0x1b863521                                         
?CreateInstance@CRdpGfxCapsSet@@SAJPEAXKPEAPEAUIRdpGfxCapsSet@@@Z                                    0xe7a8fb27                                         
?CreateInstance@Evict@@SAJKKKKKPEAPEAV1@@Z                                                           0x7f6e6f4a                                         
?CreateInstance@HashTable@@SAJKKPEAPEAUIHashBucket@@@Z                                               0x874b3df3                                         
