DLL Path: C:\Windows\System32\DeviceCredential.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
DeviceCredentialAbortAuthentication                                                                  0x86b36d68                                         
DeviceCredentialAbortProvisioning                                                                    0x07dfea0f                                         
DeviceCredentialCompleteAuthentication                                                               0xbc3ab169                                         
DeviceCredentialCompleteProvisioning                                                                 0x9f1439d0                                         
DeviceCredentialDeprovision                                                                          0xbe5af7a2                                         
DeviceCredentialFindClose                                                                            0x40935667                                         
DeviceCredentialFindFirst                                                                            0x40c80799                                         
DeviceCredentialFindNext                                                                             0xaca58950                                         
DeviceCredentialFreeBuffer                                                                           0x68506acc                                         
DeviceCredentialGetAuthStageData                                                                     0xba9dff30                                         
DeviceCredentialGetDeviceInfo                                                                        0x581526cc                                         
DeviceCredentialInitializeAuthentication                                                             0x6891b6e2                                         
DeviceCredentialInitializeProvisioning                                                               0x08c98d09                                         
DeviceCredentialMgrBeginAuthentication                                                               0xbe66601b                                         
DeviceCredentialMgrCheckIfUserSessionIsRequired                                                      0x26c6daa3                                         
DeviceCredentialMgrCheckPresence                                                                     0xdd163009                                         
DeviceCredentialMgrCheckProvisionedDevice                                                            0x9dff6116                                         
DeviceCredentialMgrGetAuthenticationData                                                             0x41695270                                         
DeviceCredentialMgrHasLogonSession                                                                   0xc2b7d915                                         
DeviceCredentialMgrProtectData                                                                       0xff9ec871                                         
DeviceCredentialMgrUnprotectData                                                                     0xace76d94                                         
DeviceCredentialMgrUpdateAuthenticationStage                                                         0xbf7a772d                                         
DeviceCredentialRegisterPresenceMonitoring                                                           0x2c6e4c70                                         
DeviceCredentialRegisterPresenceMonitoringOnExistingDevice                                           0x0c14b888                                         
DeviceCredentialScanDeploymentData                                                                   0xfd0fdcd0                                         
DeviceCredentialSetFriendlyName                                                                      0xa6ac297a                                         
DeviceCredentialSetOpaqueBlob                                                                        0x6ebb1d26                                         
DeviceCredentialShowNotificationMessage                                                              0x54af32dd                                         
DeviceCredentialUnregisterPresenceMonitoring                                                         0x20feb5b3                                         
DeviceCredentialUpdateDeploymentData                                                                 0xd9bcaf8e                                         
DeviceCredentialUpdatePresenceState                                                                  0xf4dc5489                                         
