DLL Path: C:\Windows\System32\vccorlib140d.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?<Dispose>@Exception@Platform@@UE$AAAXXZ                                                             0xd471ec34                                         
?<Dispose>@String@Platform@@UE$AAAXXZ                                                                0x0587a8bc                                         
?<Dispose>@Type@Platform@@UE$AAAXXZ                                                                  0xeec39547                                         
??0AccessDeniedException@Platform@@QE$AAA@PE$AAVString@1@@Z                                          0x718b7fb2                                         
??0AccessDeniedException@Platform@@QE$AAA@XZ                                                         0x4eed30d1                                         
??0Attribute@Metadata@Platform@@QE$AAA@XZ                                                            0x47cfb5bc                                         
??0Boolean@Platform@@QEAA@_N@Z                                                                       0xa82a1b97                                         
??0COMException@Platform@@QE$AAA@H@Z                                                                 0xd7ca9ae5                                         
??0COMException@Platform@@QE$AAA@HPE$AAVString@1@@Z                                                  0x670bcf5e                                         
??0ChangedStateException@Platform@@QE$AAA@PE$AAVString@1@@Z                                          0x61cafba2                                         
??0ChangedStateException@Platform@@QE$AAA@XZ                                                         0xc1c64ac1                                         
??0ClassNotRegisteredException@Platform@@QE$AAA@PE$AAVString@1@@Z                                    0xec34a00c                                         
??0ClassNotRegisteredException@Platform@@QE$AAA@XZ                                                   0x3e1a686b                                         
??0Delegate@Platform@@QE$AAA@XZ                                                                      0x7a4d2b02                                         
??0DisconnectedException@Platform@@QE$AAA@PE$AAVString@1@@Z                                          0x23c6292a                                         
??0DisconnectedException@Platform@@QE$AAA@XZ                                                         0x638b1949                                         
??0Enum@Platform@@QE$AAA@XZ                                                                          0xe6e35a5c                                         
??0Exception@Platform@@QE$AAA@H@Z                                                                    0x0a415406                                         
??0Exception@Platform@@QE$AAA@HPE$AAVString@1@@Z                                                     0xc9fb4a5f                                         
??0FailureException@Platform@@QE$AAA@PE$AAVString@1@@Z                                               0x8596699f                                         
??0FailureException@Platform@@QE$AAA@XZ                                                              0xec99de5e                                         
??0GridLength@Xaml@UI@Windows@@QEAA@NW4GridUnitType@123@@Z                                           0xc2023cdf                                         
??0IntPtr@Platform@@QEAA@H@Z                                                                         0x72402213                                         
??0IntPtr@Platform@@QEAA@PEAX@Z                                                                      0x6fe6d639                                         
??0InvalidArgumentException@Platform@@QE$AAA@PE$AAVString@1@@Z                                       0x18bc9c61                                         
??0InvalidArgumentException@Platform@@QE$AAA@XZ                                                      0x8c24a560                                         
??0InvalidCastException@Platform@@QE$AAA@PE$AAVString@1@@Z                                           0xe091dc49                                         
??0InvalidCastException@Platform@@QE$AAA@XZ                                                          0xedd51248                                         
??0MTAThreadAttribute@Platform@@QE$AAA@XZ                                                            0x6eeabe55                                         
