DLL Path: C:\Windows\System32\oobe\unbcl.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$Array@E@UnBCL@@IEAA@XZ                                                                          0xdaa69b90                                         
??0?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@H@Z                                             0x7e379f96                                         
??0?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@HH@Z                                            0x452bb15e                                         
??0?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@PEBU?$IDictionary@PEAVString@UnBCL@@PEAV12@@1@@Z 0x9b01db33                                         
??0?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@XZ                                              0x41e2a9e6                                         
??0?$ICollection@E@UnBCL@@QEAA@AEBU01@@Z                                                             0xb86c3a34                                         
??0?$ICollection@E@UnBCL@@QEAA@XZ                                                                    0x827570ae                                         
??0?$ICollection@G@UnBCL@@QEAA@AEBU01@@Z                                                             0x48d777b6                                         
??0?$ICollection@G@UnBCL@@QEAA@XZ                                                                    0x9adfbc70                                         
??0?$ICollection@H@UnBCL@@QEAA@AEBU01@@Z                                                             0x110d1677                                         
??0?$ICollection@H@UnBCL@@QEAA@XZ                                                                    0xa714e251                                         
??0?$ICollection@PEAVObject@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                            0xe9402966                                         
??0?$ICollection@PEAVObject@UnBCL@@@UnBCL@@QEAA@XZ                                                   0x6c89f420                                         
??0?$ICollection@PEAVString@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                            0x59faba66                                         
??0?$ICollection@PEAVString@UnBCL@@@UnBCL@@QEAA@XZ                                                   0x2f75a520                                         
??0?$ICollection@V?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z          0x6eaf6aca                                         
??0?$ICollection@V?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@QEAA@XZ                 0x7353be04                                         
??0?$IComparer@PEAVString@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                              0x376639d3                                         
??0?$IComparer@PEAVString@UnBCL@@@UnBCL@@QEAA@XZ                                                     0x794f552d                                         
??0?$IDictionary@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@AEBU01@@Z                                     0x07e8cb7f                                         
??0?$IDictionary@PEAVString@UnBCL@@PEAV12@@UnBCL@@QEAA@XZ                                            0x3295b059                                         
??0?$IEnumerable@E@UnBCL@@QEAA@AEBU01@@Z                                                             0x2c2b0648                                         
??0?$IEnumerable@E@UnBCL@@QEAA@XZ                                                                    0x03c26b42                                         
??0?$IEnumerable@G@UnBCL@@QEAA@AEBU01@@Z                                                             0xbc9643ca                                         
??0?$IEnumerable@G@UnBCL@@QEAA@XZ                                                                    0x1c2cb704                                         
??0?$IEnumerable@H@UnBCL@@QEAA@AEBU01@@Z                                                             0x84cbe28b                                         
??0?$IEnumerable@H@UnBCL@@QEAA@XZ                                                                    0x2861dce5                                         
??0?$IEnumerable@PEAVObject@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                            0x4dab1ffa                                         
??0?$IEnumerable@PEAVObject@UnBCL@@@UnBCL@@QEAA@XZ                                                   0x7175e934                                         
??0?$IEnumerable@PEAVString@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                            0xbe65b0fa                                         
??0?$IEnumerable@PEAVString@UnBCL@@@UnBCL@@QEAA@XZ                                                   0x34619a34                                         
??0?$IEnumerable@PEBG@UnBCL@@QEAA@AEBU01@@Z                                                          0xdac6c701                                         
??0?$IEnumerable@PEBG@UnBCL@@QEAA@XZ                                                                 0x302c7a1b                                         
??0?$IEnumerable@V?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z          0x46dba65e                                         
