DLL Path: C:\Windows\System32\wbem\esscli.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CClassInfoArray@@QEAA@XZ                                                                          0x45fc0261                                         
??0CClassInformation@@QEAA@AEBU0@@Z                                                                  0x3d452df1                                         
??0CClassInformation@@QEAA@XZ                                                                        0x75bd7d9c                                         
??0CContextMetaData@@QEAA@PEAVCMetaData@@PEAUIWbemContext@@@Z                                        0xad703982                                         
??0CEvalNode@@QEAA@AEBV0@@Z                                                                          0x6cbef904                                         
??0CEvalNode@@QEAA@XZ                                                                                0x63bf2aae                                         
??0CEvalTree@@QEAA@AEBV0@@Z                                                                          0xeef9a6ee                                         
??0CEvalTree@@QEAA@XZ                                                                                0x58303118                                         
??0CMetaData@@QEAA@AEBV0@@Z                                                                          0x5e4e3ff7                                         
??0CMetaData@@QEAA@XZ                                                                                0x3c2cf761                                         
??0CObjectInfo@@QEAA@XZ                                                                              0x63009e83                                         
??0CPropertyProjectionFilter@@QEAA@AEBV0@@Z                                                          0xef98045e                                         
??0CPropertyProjectionFilter@@QEAA@XZ                                                                0xf2713a88                                         
??0CReuseMemoryManager@@QEAA@_K0@Z                                                                   0x23c17cba                                         
??0CSortedArray@@QEAA@AEAV0@@Z                                                                       0x36292f05                                         
??0CSortedArray@@QEAA@HH@Z                                                                           0x9310e1c8                                         
??0CSortedArray@@QEAA@IPEA_K@Z                                                                       0xeeeb06e1                                         
??0CStandardMetaData@@QEAA@AEBV0@@Z                                                                  0x16802948                                         
??0CStandardMetaData@@QEAA@PEAUIWbemServices@@@Z                                                     0xcb903ffd                                         
??0CTempMemoryManager@@QEAA@XZ                                                                       0x27bd034a                                         
??0CTimeKeeper@@QEAA@XZ                                                                              0xe2064b2b                                         
??1CClassInfoArray@@QEAA@XZ                                                                          0xf2145562                                         
??1CClassInformation@@QEAA@XZ                                                                        0x893694dd                                         
??1CContextMetaData@@QEAA@XZ                                                                         0xf64c1da7                                         
??1CEvalNode@@UEAA@XZ                                                                                0x488283f3                                         
