DLL Path: C:\Windows\System32\rtmpal.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CheckedMutex@auf@@QEAA@PEBD_N@Z                                                                   0xcdcad5e3                                         
??0Event@auf@@QEAA@XZ                                                                                0x8b6b871b                                         
??0Flag@auf@@QEAA@XZ                                                                                 0x343c0ad3                                         
??0IPv4@rtnet@@QEAA@XZ                                                                               0x9852c14d                                         
??0IPv6@rtnet@@QEAA@XZ                                                                               0xb0bd0d0f                                         
??0LockfreeQueue@auf@@QEAA@AEAVLockfreeStackPool@1@@Z                                                0x63b1f63a                                         
??0LockfreeStackPool@auf@@QEAA@I@Z                                                                   0x593af005                                         
??0Path@spl@@QEAA@XZ                                                                                 0xb2900a79                                         
??0PortSpecification@rtnet@@QEAA@AEBU?$pair@HH@std@@@Z                                               0xc550115f                                         
??0RefCounter@auf@@QEAA@XZ                                                                           0x3a6f0a96                                         
??0SocketConnectOptions@rtnet@@QEAA@XZ                                                               0x22521e89                                         
??0SocketOptions@rtnet@@IEAA@XZ                                                                      0x8912e837                                         
??0ThreadRef@auf@@QEAA@PEBDI_K@Z                                                                     0x953aa8a4                                         
??0UncheckedMutex@auf@@QEAA@PEBD_N@Z                                                                 0xc9b445c6                                         
??0XorshiftRNG@auf@@QEAA@I@Z                                                                         0x7a3a0d48                                         
??1CheckedMutex@auf@@QEAA@XZ                                                                         0xf57a9174                                         
??1Event@auf@@QEAA@XZ                                                                                0x3c45ed5c                                         
??1Flag@auf@@QEAA@XZ                                                                                 0x22522cf4                                         
??1IPv4@rtnet@@QEAA@XZ                                                                               0x6479efae                                         
??1IPv6@rtnet@@QEAA@XZ                                                                               0x7ce43b70                                         
??1LockfreeQueue@auf@@QEAA@XZ                                                                        0xf511a52a                                         
??1LockfreeStackPool@auf@@QEAA@XZ                                                                    0xd73af815                                         
??1Path@spl@@QEAA@XZ                                                                                 0xa0a62c9a                                         
??1PortSpecification@rtnet@@QEAA@XZ                                                                  0x10a97c91                                         
??1RefCounter@auf@@QEAA@XZ                                                                           0x09588177                                         
??1ThreadRef@auf@@QEAA@XZ                                                                            0x40c62caf                                         
??1UncheckedMutex@auf@@QEAA@XZ                                                                       0x654bdf57                                         
??1XorshiftRNG@auf@@QEAA@XZ                                                                          0x33ad7c38                                         
??AIPv4@rtnet@@QEAAAEAE_K@Z                                                                          0xf0e271bc                                         
??AIPv6@rtnet@@QEAAAEAE_K@Z                                                                          0x92fc66be                                         
?address@InterfaceAddress@rtnet@@QEBA?AV?$IntrusivePtr@VAddress@rtnet@@@auf@@XZ                      0x8a818e96                                         
?advance@SimpleBuffer@rtnet@@QEAAX_K@Z                                                               0x999a625b                                         
?allocMem@LockfreePacker@auf@@SAPEAX_K@Z                                                             0x2dbf51b1                                         
?allocate@LockfreeStackPool@auf@@QEAAPEAX_K@Z                                                        0xcd50d92a                                         
?asIPv4@Address@rtnet@@QEBA_NAEAVIPv4@2@@Z                                                           0x3cc36440                                         
?asIPv6@Address@rtnet@@QEBA_NAEAVIPv6@2@@Z                                                           0x4c115644                                         
?atomicAddI@spl@@YAHPECHH@Z                                                                          0xa22a01a6                                         
?atomicAddL@spl@@YAJPECJJ@Z                                                                          0x333c72af                                         
?callOperatorDelete@spl@@YAXPEAX@Z                                                                   0x839181c8                                         
?callOperatorNew@spl@@YAPEAX_K@Z                                                                     0xdc5b3631                                         
?clearDelegate@StreamSocket@rtnet@@QEAAXXZ                                                           0x8c746cea                                         
?compareExchangeI@spl@@YA_NPECHHH@Z                                                                  0x44abb397                                         
